iteration,loss,value_loss,policy_loss,wins_random_2p,wins_deepseek_2p,wins_random_4p,wins_deepseek_4p,wins_starter_2p
1,0.9834856390953064,0.005955235101282597,0.9775304198265076,,,,,
2,0.7738893628120422,0.014011919498443604,0.7598774433135986,,,,,
3,1.0223090648651123,0.034712426364421844,0.9875966310501099,,,,,
4,0.9543293714523315,0.03296171873807907,0.9213676452636719,,,,,
5,0.6852068901062012,0.028984393924474716,0.6562225222587585,,,,,
6,0.9728760719299316,0.03476611152291298,0.9381099343299866,,,,,
7,0.8144989609718323,0.03244952857494354,0.7820494174957275,,,,,
8,0.9561386704444885,0.06648320704698563,0.8896554708480835,,,,,
9,0.7241907715797424,0.03490559756755829,0.689285159111023,,,,,
10,0.8246204853057861,0.03414765000343323,0.7904728055000305,,,,,
11,0.7247113585472107,0.027694668620824814,0.697016716003418,,,,,
12,0.7322537899017334,0.069602370262146,0.6626514196395874,,,,,
13,0.5896092653274536,0.02349221706390381,0.5661170482635498,,,,,
14,0.5839872360229492,0.029324166476726532,0.5546630620956421,,,,,
15,0.6315474510192871,0.038793232291936874,0.5927542448043823,,,,,
16,0.5228817462921143,0.009195255115628242,0.51368647813797,,,,,
17,0.5719243884086609,0.02262832224369049,0.5492960810661316,,,,,
18,1.0158716440200806,0.038977961987257004,0.9768936634063721,,,,,
19,0.4961216449737549,0.017572805285453796,0.4785488247871399,,,,,
20,0.6116937398910522,0.02718472294509411,0.584509015083313,,,,,
21,0.44918715953826904,0.0310621727257967,0.4181249737739563,,,,,
22,0.5357003211975098,0.07181653380393982,0.46388375759124756,,,,,
23,0.31737881898880005,0.03396882861852646,0.283409982919693,,,,,
24,0.39447376132011414,0.008113662712275982,0.3863601088523865,,,,,
25,0.4397526681423187,0.0050544897094368935,0.4346981644630432,,,,,
26,0.29288721084594727,0.018925921991467476,0.27396127581596375,,,,,
27,0.32071611285209656,0.011468920856714249,0.3092471957206726,,,,,
28,0.28254446387290955,0.003739922773092985,0.2788045406341553,,,,,
29,0.30444660782814026,0.007897593080997467,0.2965490221977234,,,,,
30,0.2843756079673767,0.007091703824698925,0.2772839069366455,,,,,
31,0.2727964520454407,0.00432801665738225,0.26846843957901,,,,,
32,0.28034722805023193,0.004966025706380606,0.2753812074661255,,,,,
33,0.2286059856414795,0.0020767771638929844,0.22652921080589294,,,,,
